Tipo;Produto;Ano;Quantidade
VINHO DE MESA;VINHO DE MESA;1979;211252982
vm_Tinto;Tinto;1979;154736439
vm_Branco;Branco;1979;7146395
vm_Rosado;Rosado;1979;49370148
VINHO FINO DE MESA (VINÍFERA);VINHO FINO DE MESA (VINÍFERA);1979;46129710
vv_Tinto;Tinto;1979;14356453
vv_Branco;Branco;1979;25727132
vv_Rosado;Rosado;1979;6046125
SUCO;SUCO;1979;0
su_Suco de uva simples;Suco de uva integral;1979;0
su_Suco concentrado;Suco de uva concentrado;1979;0
su_Suco de uva adoçado;Suco de uva adoçado;1979;0
su_Suco de uva orgânico;Suco de uva orgânico;1979;0
su_Suco de uva reconstituído;Suco de uva reconstituído;1979;0
DERIVADOS;DERIVADOS;1979;35370846
de_Espumante;Espumante;1979;0
de_Espumante moscatel;Espumante moscatel;1979;0
de_Base espumante;Base espumante;1979;0
de_Base espumante moscatel;Base espumante moscatel;1979;0
de_Base Champenoise champanha;Base Champenoise champanha;1979;0
de_Base Charmat champanha;Base Charmat champanha;1979;0
de_Bebida de uva;Bebida de uva;1979;0
de_Polpa de uva;Polpa de uva;1979;0
de_Mosto simples;Mosto simples;1979;34318456
de_Mosto concentrado;Mosto concentrado;1979;0
de_Mosto de uva com bagaço;Mosto de uva com bagaço;1979;0
de_Mosto dessulfitado;Mosto dessulfitado;1979;0
de_Mistelas;Mistelas;1979;60300
de_Néctar de uva;Néctar de uva;1979;0
de_Licorosos;Licorosos;1979;34000
de_Compostos;Compostos;1979;0
de_Jeropiga;Jeropiga;1979;20000
de_Filtrado;Filtrado;1979;0
de_Frisante;Frisante;1979;0
de_Vinho leve;Vinho leve;1979;0
de_Vinho licoroso;Vinho licoroso;1979;0
de_Brandy;Brandy;1979;0
de_Destilado;Destilado;1979;0
de_Bagaceira;Bagaceira;1979;938090
de_Licor de bagaceira;Licor de bagaceira;1979;0
de_Vinagre;Vinagre;1979;0
de_Borra líquida;Borra líquida;1979;0
de_Borra seca;Borra seca;1979;0
de_Vinho Composto;Vinho Composto;1979;0
de_Pisco;Pisco;1979;0
de_Vinho orgânico;Vinho orgânico;1979;0
de_Espumante orgânico;Espumante orgânico;1979;0
de_Destilado alcoólico simples de bagaceira ;Destilado alcoólico simples de bagaceira ;1979;0
de_Vinho acidificado ;Vinho acidificado ;1979;0
de_Mosto parcialmente fermentado ;Mosto parcialmente fermentado ;1979;0
de_Outros derivados;Outros derivados;1979;0
VINHO DE MESA;VINHO DE MESA;1980;130308185
vm_Tinto;Tinto;1980;101659755
vm_Branco;Branco;1980;5363452
vm_Rosado;Rosado;1980;23284978
VINHO FINO DE MESA (VINÍFERA);VINHO FINO DE MESA (VINÍFERA);1980;31740663
vv_Tinto;Tinto;1980;9296741
vv_Branco;Branco;1980;19326572
vv_Rosado;Rosado;1980;3117350
SUCO;SUCO;1980;0
su_Suco de uva simples;Suco de uva integral;1980;0
su_Suco concentrado;Suco de uva concentrado;1980;0
su_Suco de uva adoçado;Suco de uva adoçado;1980;0
su_Suco de uva orgânico;Suco de uva orgânico;1980;0
su_Suco de uva reconstituído;Suco de uva reconstituído;1980;0
DERIVADOS;DERIVADOS;1980;37553414
de_Espumante;Espumante;1980;0
de_Espumante moscatel;Espumante moscatel;1980;0
de_Base espumante;Base espumante;1980;0
de_Base espumante moscatel;Base espumante moscatel;1980;0
de_Base Champenoise champanha;Base Champenoise champanha;1980;0
de_Base Charmat champanha;Base Charmat champanha;1980;0
de_Bebida de uva;Bebida de uva;1980;0
de_Polpa de uva;Polpa de uva;1980;0
de_Mosto simples;Mosto simples;1980;37553414
de_Mosto concentrado;Mosto concentrado;1980;0
de_Mosto de uva com bagaço;Mosto de uva com bagaço;1980;0
de_Mosto dessulfitado;Mosto dessulfitado;1980;0
de_Mistelas;Mistelas;1980;0
de_Néctar de uva;Néctar de uva;1980;0
de_Licorosos;Licorosos;1980;0
de_Compostos;Compostos;1980;0
de_Jeropiga;Jeropiga;1980;0
de_Filtrado;Filtrado;1980;0
de_Frisante;Frisante;1980;0
